RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
166;SOUS-BASSIN;121.205757;0.018740;8;1842;4.605000;-72.02718;46.03255
167;SOUS-BASSIN;117.666664;0.022710;8;3;0.007500;-72.00667;46.03728
168;SOUS-BASSIN;119.250000;0.014573;8;4;0.010000;-72.00758;46.03726
169;SOUS-BASSIN;134.467819;0.021570;4;3574;8.935000;-71.96606;46.03862
170;SOUS-BASSIN;130.847610;0.021913;7;3104;7.760000;-71.97078;46.05074
171;SOUS-BASSIN;181.183228;0.084790;4;1610;4.025000;-71.91041;46.04895
172;SOUS-BASSIN;142.311951;0.020308;8;1372;3.430000;-71.92775;46.05647
173;SOUS-BASSIN;177.242416;0.031725;4;8176;20.440001;-71.85005;46.09840
174;SOUS-BASSIN;148.674438;0.009725;8;3133;7.832500;-71.89156;46.09455
175;SOUS-BASSIN;166.100769;0.017716;5;129;0.322500;-71.83794;46.12109
176;SOUS-BASSIN;190.143478;0.097529;4;1826;4.565000;-71.88817;46.06540
177;SOUS-BASSIN;151.113205;0.023304;7;795;1.987500;-71.89197;46.07422
178;SOUS-BASSIN;264.115906;0.098399;4;12451;31.127501;-71.82586;46.05972
179;SOUS-BASSIN;184.982681;0.061319;7;924;2.310000;-71.85139;46.08251
180;SOUS-BASSIN;230.592056;0.053988;5;1537;3.842500;-71.81494;46.09009
181;SOUS-BASSIN;155.000000;0.002500;7;1;0.002500;-71.87426;46.07813
182;SOUS-BASSIN;159.250000;0.039955;8;20;0.050000;-71.87527;46.07859
183;SOUS-BASSIN;164.000000;0.028350;7;45;0.112500;-71.87391;46.08131
184;SOUS-BASSIN;179.960052;0.092092;2;3104;7.760000;-71.92062;46.01312
185;SOUS-BASSIN;181.005615;0.117454;5;2315;5.787500;-71.91090;46.02598
186;SOUS-BASSIN;240.215256;0.093546;5;3814;9.535000;-71.85998;46.02270
187;SOUS-BASSIN;185.757141;0.108188;1;490;1.225000;-71.89399;46.01442
188;SOUS-BASSIN;225.372360;0.082538;6;4877;12.192500;-71.87364;46.03853
189;SOUS-BASSIN;209.149109;0.092654;2;2857;7.142500;-71.88005;45.98226
190;SOUS-BASSIN;202.431335;0.085732;6;3044;7.610000;-71.86622;45.99791
191;SOUS-BASSIN;326.345032;0.121501;4;2733;6.832500;-71.80838;45.99124
192;SOUS-BASSIN;301.555847;0.091764;6;8155;20.387501;-71.81604;46.01059
193;SOUS-BASSIN;419.410095;0.107343;5;1841;4.602500;-71.77444;46.01371
194;SOUS-BASSIN;251.878067;0.103521;2;3215;8.037500;-71.85491;45.95522
