Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;4;365;60255000;208161.29;30;4801000;4801000;Souterrain;281979;42348;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01013;-69.03828;NULL
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;4;0;0;0;0;0;0;Souterrain;281980;42346;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01019;-69.03727;NULL
13433263;Ville de Senneterre;30128;2018;1;365;1094630000;4029354.84;31;83103000;83103000;Souterrain;282579;43163;systeme d'approvisionnement sans traitement Senneterre;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.31503263;-77.17190495;NULL
13433263;Ville de Senneterre;30128;2018;2;365;1094630000;4029354.84;28;94391000;94391000;Souterrain;282580;43163;systeme d'approvisionnement sans traitement Senneterre;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.31503263;-77.17190495;NULL
13433263;Ville de Senneterre;30128;2018;3;365;1094630000;4029354.84;31;112300000;112300000;Souterrain;282583;43163;systeme d'approvisionnement sans traitement Senneterre;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.31503263;-77.17190495;NULL
13433263;Ville de Senneterre;30128;2018;4;365;1094630000;4029354.84;30;114484000;114484000;Souterrain;282586;43163;systeme d'approvisionnement sans traitement Senneterre;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.31503263;-77.17190495;NULL
Y2008344;Ville de Warwick;28510;2018;5;365;478010000;1995750;31;36573000;36573000;Souterrain;283660;41086;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.92968392;-71.9899423;5485950
15926173;Municipalite de Lambton;28484;2018;3;365;10879900;35909.68;31;725000;725000;Souterrain;265277;41041;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8333;-71.0728;725000
15926173;Municipalite de Lambton;28484;2018;3;365;15678600;53451.61;31;1054500;1054500;Souterrain;265278;41035;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8327;-71.0727;1054500
15926173;Municipalite de Lambton;28484;2018;3;365;27898700;88010;31;1924400;1924400;Souterrain;265279;41038;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8381;-71.08;1924400
